name,number,id,path,description,aliases,courseQuality,professorQuality,difficulty,amountLearned,workRequired,RecommendToMajor,RecommendToNonMajor,numberReviewers
METHODS IN FNCE THEORY,null,37216,/courses/37216,This doctoral level course introduces students to game theory and continuous-time methods. Both techniques represent fundamental approaches to organizing modeling and understanding complex financial phenomena. The game theory half will cover equilibrium concepts moral hazard signaling and screening. Highlights include rigorous formulations and analyses of the perfect Bayesian equilibrium concept and the principal-agent relationship. Both ideas are central to theories of corporate finance and financial markets - subjects that the students will be exposed to in the spring. The continuous-time methods half will cover basic stochastic calculus and applications to capital structure Merton's consumption-portfolio and problem and optimal contracts.,[FNCE-928],3.9,4.0,2.29,3.57,2.0,3.0,3.29,10
WRITING SEMINAR IN CINE: OUR ANIMALS OURSELVES,null,42250,/courses/42250,This writing seminar focuses on a scholarly inquiry in the field of Cinema Studies the study of the history theory and production of film. It will introduce students to scholarly conversations on a specific topic in this discipline as a basis for understanding discipline- and profession-based writing. This includes types of reasoning evidence citation practices and other means of creating testing and sharing knowledge with diverse audiences. Throughout students are introduced to new writing situations as a means of sharpening their skills and learning how to be adaptive effective writers.,[WRIT-025],2.31,3.81,2.27,-1.0,3.4,-1.0,-1.0,16
THE ARTS AND POPULAR CULTURE:  THE BEATLES,null,44058,/courses/44058,A creative writing workshop that concentrates on various aspects of writing about artistic endeavor including criticism reviews profiles interviews and essays. For the purposes of this class the arts will be interpreted broadly and students are able -- and in fact encouraged -- to write about both the fine arts and popular culture including music theater film fashion photography and television. Students will write on a weekly basis and many assignments will be tailored to each student's individual interests and are likely to include reporting and research. Writing subjects can range from a local band to a museum from a theater group to a comedian. Course offerings may inclue Writing about Music Writing about Popular Culture or other topics and themes.,[ENGL-117],3.93,3.86,1.62,-1.0,1.92,-1.0,-1.0,14
FEMINIST PHILOSOPHY,null,41954,/courses/41954,This course is an introduction to feminist thought both in theory and in practice. We will consider how feminist thought emerged and evolved as well as how feminist theories respond to various intellectual social and political challenges. Questions we will address include: What exactly is feminism? How does one's gender identity impact one's lived experiences? How should we revise reformulate or rethink traditional answers to politial and ethical issues in light of feminist theories? How can feminist analyses contribute to the development of better science and our conceptions of knowledge?,[PHIL-028 -- GSWS-028],3.38,3.76,2.46,-1.0,2.53,-1.0,-1.0,17
East & West: A Hitchiker's Guide to the Cultural History of the Modern Worl,null,43469,/courses/43469,Sugar and Spices. Tea and Coffee. Opium and Cocaine. Hop aboard the Indian Ocean dhows Chinese junks Dutch schooners and British and American clipper ships that made possible the rise of global capitalism new colonial relationships and the intensified forms of cultural change. How have the desires to possess and consume particular commodities shaped cultures and the course of modern history? This class introduces students to the cultural history of the modern world through an interdisciplinary analysis of connections between East and West South and North. Following the circulation of commodities and the development of modern capitalism the course examines the impact of global exchange on interactions and relationships between regions nations cultures and peoples and the influences on cultural practices and meanings. The role of slavery and labor migrations colonial and imperial relations and struggles for economic and political independence are also considered.,[SAST-063 -- ANTH-063 -- HIST-087],3.24,3.64,2.05,-1.0,2.37,-1.0,-1.0,22
POVERTY AND INEQUALITY,null,42123,/courses/42123,,[SOCI-041],3.64,3.93,1.5,-1.0,1.86,-1.0,-1.0,15
BOOKS THAT CHANGED MODERN AMERICA,null,37330,/courses/37330,,[HIST-204],3.67,3.78,2.63,-1.0,3.25,-1.0,-1.0,11
FILM CULTURE IN RESIDENCE,null,42520,/courses/42520,,[CIMS-180],3.57,3.57,0.55,-1.0,1.0,-1.0,-1.0,25
TOPICS FILM STUDIES: MARTIN SCORSESE,null,43893,/courses/43893,This topic course explores aspects of Film Practice intensively. Specific course topics vary from year to year. See the Cinema Studies website at <http://cinemastudies.sas.upenn.edu/> for a description of the current offerings.,[CIMS-202 -- ENGL-292],3.88,3.83,1.91,-1.0,2.65,-1.0,-1.0,25
MODERN POLITICAL PHIL: Hobbes Locke Mill Marx Rawls,null,39167,/courses/39167,A survey of several works in modern political philosophy including Thomas Hobbes's Leviathan; John Locke's Second Treatise on Government and Letter Concerning Toleration; David Hume's 'Of the Original Contract' and 'On Justice'; John Stuart Mill's Utilitarianism On Liberty and The Subjection of Women; excerpts from Karl Marx's Capital and other writings; and John Rawls's A Theory of Justice.,[PHIL-479],3.27,3.45,2.8,-1.0,2.8,-1.0,-1.0,11
TOPICS IN HIST OF PHIL: Topics in Early Modern Philosophy,null,40541,/courses/40541,Today Friedrich Schiller is primarily known for his dramas and poems. However during a period of several years (after he was appointed professor of History in Jena) he was also concerned with philosophical issues. The focus was mainly on questions of aesthetics and philosophy of history. With regard to both it was Kant who was extremely influential for the development of Schiller's philosophical position. But Schiller did not simply copy or rearrange Kantian ideas in fact he evolved Kantian philosophy significantly in numerous respects. And even though Schiller later gave up with his philosophical ambitions--in a letter he even dismissed his philosophical efforts altogether as immature--his specific understanding of Kantian philosophy became extremely iknfluential for the genesis of German idalism in general but in particular shaped the reception of Kantian ideas by Hegel. In this seminar we will look at Schiller's most important philosophical writings and address both his conception of aesthetics and his approach to philosophy of history. The seminar and discussion are in English.,[PHIL-467 -- GRMN-567],3.5,3.83,2.4,-1.0,2.2,-1.0,-1.0,7
Vagelos Integrated Program in Energy Research Seminar II,null,42233,/courses/42233,This is the second part of the two-semester seminar designed to introduce students to the VIPER program and help them prepare for energy-related research. In this semester we will continue to discuss research articles on various energy-related topics best practices for library research presentation of data basic research methods research ethics data analysis and funding options. A large focus of the course will also be on presenting (in both written and oral form) the work from the students' summer research internships.,[VIPR-121],2.94,3.39,1.22,-1.0,2.0,-1.0,-1.0,19
ADV SPAN/MED PROFS: Advanced Medical Spanish,null,43520,/courses/43520,The goal of this course is to provide advanced practice in Spanish to those students who are interested in pursuing careers in the medical and health care fields. Through readings and authentic materials on contemporary health issues for example i.e. H1N1 influenza comparative healthcare systems obesity chagas disease etc. students will acquire the vocabulary and grammatical structures needed to discuss a wide array of topics pertaining to the health-related professions. Students will also gain awareness of those health care issues affecting the Hispanic/Latino patient. Oral and written presentations will complement topics covered in class.,[SPAN-205],3.58,3.5,-1.0,-1.0,0.83,-1.0,-1.0,12
3 DIMENSIONS:TIME/SPACE,null,45040,/courses/45040,Through studio projects readings and class discussion this class will begin to address both conceptually and physically basic 3D structures and translations between 3D and 2D as well as materiality experiential phenomena light and time-based processes. The interconnection between mediums in our cultural climate employs a wide range of tools processes and ideas. It is imperative that visual studies students recognize and think through these connections. The work produced and ideas confronted in this class will facilitate discussions and constructive criticism on the fundamentalsof space and time via the experiential conceptual and the formal as essential elements of meaning.,[VLST-103],3.25,3.17,3.7,-1.0,4.0,-1.0,-1.0,12
POL&POW/POLICY MKG IN DC: PIW: CORE SEMINAR: CONDUCTING PUBLIC POLICY RESEARCH IN WASHINGTON,null,44828,/courses/44828,This seminar is taught in Washington D.C. for students enrolled in the Washington Semester Program. It includes an orientation to observation and research in the Washington Community and a major independent research project on the politics of governance.,[PSCI-330],2.3,2.2,1.67,-1.0,2.33,-1.0,-1.0,10
TRAVEL WRITING:  GENRE AND ADVENTURE ECOLOGY AND BUSINESS,null,42699,/courses/42699,This seminar explores an aspect of medieval literature intensively; specific course topics will vary from year to year. Topics in the past have included the medieval performance medieval women and medieval law and literature.,[ENGL-221],4.0,4.0,1.5,-1.0,1.5,-1.0,-1.0,5
NEGOTIATION BEHAVIOR,null,40990,/courses/40990,We negotiate every day-with merchants service providers employers coworkersfriends and family-determining what price we will pay the amount of our salary and compensation what movies to watch where to go to dinner who will clean the kitchen and so forth. Although negotiations are a ubiquitous part ofour everyday lives many of us know little about the strategy and psychology ofeffective negotiations. Why do we sometimes get our way while other times we walk away feeling frustrated by our inability to achieve the agreement we desire? Over the past few decades research in social psychology and decision sciences has sought the answer to this question and created a rich body of knowledge on bargaining behavior leading to well-validated prescription on howto negotiate. In this course you will learn both the how and the why of negotiation behavior. Through role-playing exercises you will be able to evaluate your own negotiation behavior as well as those of your classmates and receive advice on how to optimize it to achieve your desired outcomes. Importantly you will also read and discuss research articles that have led to to such practical advice. In this way the goal of this course is to combine negotiation practice and theory so you can develop a comprehensive skillset of negotiation behavior.,[BDS-511],3.64,3.79,2.46,-1.0,2.58,-1.0,-1.0,14
STUDIES IN SPAN CULTURE,null,45315,/courses/45315,This course covers topics in contemporary Spanish Culture its specific emphasis varying with the instructor. Please see the Spanish Department's website for the course description: https://www.sas.upenn.edu/hispanic-portuguese-studies/pc,[SPAN-386],3.13,3.75,3.14,-1.0,2.88,-1.0,-1.0,8
GREEK ARCH & URBANISM,null,43733,/courses/43733,Introduction to the art of building and city planning in the ancient Greek world 7th-1st c. BC. Emphasis on concepts of organizing space on issues of structure materials decoration proportion and the Mycenean and eastern heritage as well as on theory and practice of urbanism as reflected in ancient cities (Athens Pergamon Alexandria) and writings (Plato Artistotle and others). Excursions to the Penn Museum and Philadelphia. No prerequisites.,[ARTH-228],2.69,3.0,1.27,-1.0,1.2,-1.0,-1.0,16
Public Financial Leadership in the New Fiscal Reality,null,42864,/courses/42864,Several factors are intersecting upon U.S. local governments including: muted economic growth demographics technological change ineffective monetary & fiscal policy and political shenanigans. These are having a profound impact on local government financial health. Many local governments are struggling to structurally balance their budgets even now several years into one of the longest U.S. post-WWII economic recoveries. Expenditure demand especially because of rising employee pension and OPEB benefits is rising faster than expected. Revenues are not rising as quickly as they have historically. This New Fiscal Reality is redefining the concept of municipal distress. Further the options local governments have to respond to distress may be changing. It might be necessary for local governments to move away from typical solutions like distressed municipality programs and other state level aid. If the current financial trajectory continues some local governments will not be able to deliver the same service-level they have in the past. New solutions are required.,[GAFL-515],3.11,2.78,2.75,-1.0,2.63,-1.0,-1.0,9
INTERMED PORTUGUESE II,null,36377,/courses/36377,This is a forth-semester intermediate course in a four-course strand designed for students who have taken at least three semesters of Portuguese. Classroon activities will emphasize pronunciation spoken production grammar and language structures and vocabulary at the advanced intermediate level. Students will explore movies readings news music and other media as they further develop speaking writing reading and interpretive skills in Portuguese. The course will be conducted in Portuguese.,[PRTG-140],3.33,3.67,2.4,-1.0,2.4,-1.0,-1.0,6
QUALITY AND PRODUCTIVITY: Managing the Productive Core: Quality and Productivity,null,40497,/courses/40497,Matching supply with demand is an enormous challenge for firms: excess supply is too costly inadequate supply irritates customers. In the course we will explore how firms can better organize their operations so that they more effectively align their supply with the demand for their products and services. Throughout the course we illustrate mathematical analysis applied to real operational challenges--we seek rigor and relevance. Our aim is to provide both tactical knowledge and high-level insights needed by general managers and management consultants. We will demonstrate that companies can use (and have used) the principles from this course to significantly enhance their competitiveness.,[OIDD-611],2.21,2.71,2.0,2.55,1.82,2.27,2.64,14
YORUBA LANG & CULTURE I,null,36689,/courses/36689,,[AFST-486],4.0,4.0,-1.0,-1.0,0.0,-1.0,-1.0,2
SUSTAINABILITY AND THE URBAN NEIGHBORHOOD,null,40784,/courses/40784,This studio style class will follow the method of a traditional architecture and city planning studio in that the learning will occur while students do a simulated project. A specific neighborhood in Philadelphia will be chosen and students will examine the neighborhood in detail focusing on the different aspects that comprise the concept of sustainability. This will include issues of density diversity of uses transportation livability environmentally sustainable buildings food accessibility environmentally sustainable materials and education. It will also look into issues related to social sustainability and social diversity.,[URBS-439],2.25,2.63,1.75,-1.0,2.13,-1.0,-1.0,9
BAROQUE OPERA: FROM MONTEVERDI TO GLUCK: THE TWO ORFEI.,null,43182,/courses/43182,This course offers an in-depth look at topics and repertoires of the earlier periods namely one (or more) of three historical epochs: Medieval Renaissance or Baroque. The purpose of this course is to give students the oppotunity to engage deeply with musical works historically analytically and contextually in addition to introducing a range of methodologies within the historical study of Music. (Formerly Music 120 121122).,[MUSC-230],3.33,3.67,2.0,-1.0,2.33,-1.0,-1.0,3
CONFLICT & CONFORMITY IN POSTWAR AMERICA: 1945-1963,null,37341,/courses/37341,This course will survey the major developments in the two decades following the end of World War II a fascinating yet misunderstood era when Americans simultaneously enjoyed unprecedented prosperity but grappled with a rapidly evolving domestic landscape fraught with new insecurities. Among the topics covered will be the Cold War the Civil Rights movement McCarthyism suburbia and the changing role of women. We will also examine other significant aspects of American life during this era including comic books the rock & roll revolution and the rise of television. Requirements will include a midterm final one paper and several short homework assignments.,[HIST-360],3.67,3.67,2.0,-1.0,2.0,-1.0,-1.0,3
GLOBALIZATION & SCI FI,null,36968,/courses/36968,,[COML-113 -- ENGL-275],3.33,3.67,3.0,-1.0,3.17,-1.0,-1.0,6
COMING OF AGE IN AMERICAN LITERATURE,null,42670,/courses/42670,Some versions of this course survey the American novel from its beginnings to the present focusing on the development of the form while others concentrate on the development of American fiction in one or two periods. Readings may include novels by writers such as Brown Cooper Hawthorne Melville Wharton Morrison Twain James Adams Chopin Howells Norris Whitman Dreiser Fitzgerald Hemingway Faulkner Dos Passos Ellison and Nabokov.,[ENGL-089],3.43,3.6,1.93,-1.0,2.07,-1.0,-1.0,15
PEER TUTOR TRAINING: WRITING CENTER THEORY &P,null,45080,/courses/45080,This course is by nomination and invitation only. It is intended for capable writers who possess the maturity temperament and skills to work successfully as peer tutors at Penn. The course emphasizes the development of tutors' own writing through the process of collaborative peer-criticism individual conferences and intensive sessions on writing from mechanics to style; it also focuses on writing pedagogy research and tutoring strategies. The class meets twice weekly; tutors also work two hours weekly in the Writing Center or elsewhere and confer regularly in small groups or one-on-one meetings with the instructor. Tutors are required to write five short papers eight one-page peer reviews and two responses to readings. Additionally students keep a journal and give two class presentations. CWIC-affiliated course. www.fission.sas.upenn.edu/writing/ccs/catalog.php,[WRIT-135 -- ENGL-135],3.0,3.18,0.8,-1.0,1.6,-1.0,-1.0,12
FRESHMAN SEMINARS: Diversity Technology and the Penn Experience,null,40681,/courses/40681,,[SOCI-041],2.53,2.88,1.77,-1.0,2.08,-1.0,-1.0,17
WRITING AND PERFORMANCE: ART REVIEWING/CRITICISM,null,41293,/courses/41293,A creative writing workshop that engages visual performance multimedia installation and other forms of art and artistic practices. Offerings may include Across Forms: Making Art and Writing Art Reviewing and Criticism or other topics and themes. See the English Department's website at www.english.upenn.edu for a description of current offerings.,[ENGL-119],3.33,3.67,1.43,-1.0,2.0,-1.0,-1.0,9
FINANCIAL ENGINEERING,null,38604,/courses/38604,Many financial products are introduced each year; some are designed to meet the needs of a particular clientele and others are really strategies and related implementations. A common feature of the successful products is the careful attention to their design and more importantly the technical preparation that entered into its valuationits hedging and its benefits to users. Innovations in financial markets are rapidly imitated because even complex contracts and strategies that use existing securities or they are seen as equivalent to dynamically-adjusted positions in other securities. A strong foundation in the technical tools and statistical methods is invaluable in this process of financial engineering. The objectives in this course are two fold. First to provide the student with the necessary skills to design or reverse-engineer to value and to hedge these products. Second to enable the student to absorb the analytical arguments in the (increasingly) technical publications that deal with innovations in these contracts - now in the in-house research notes of financial institutions and in practitioner-oriented journals - and to apply them.,[FNCE-392],3.2,3.3,3.33,3.22,2.67,1.44,3.33,11
PASTORAL NOMADISM,null,44601,/courses/44601,Pastoral nomadism is a third way of human subsistence separate from farming and foraging. It is a sustainable human adaptation to grassland and arid environments practiced through particular technologies and domesticated animals. This course begins by examining the human ecology and social organization that emerge from mobile ways of life drawing on modern ethnographic and archaeological examples of pastoral nomadic groups in the Middle East and Central Asia. Academic readings and ethnographic films will form the basis of discussions about several larger themes including: the origins of pastoral nomadism and horse riding; the development of dairy-based foods and human adaptations allowing the digestion of lactose; the historical relationship between mobile groups of pastoralists and territorial states; popular perceptions of nomads in various forms of historical and modern media; and the influence of ideas about nomads on modern senses of heritage and nationalism in the Middle East and Central Asia.,[NELC-106 -- ANTH-108 -- NELC-606],3.17,3.33,2.2,-1.0,2.2,-1.0,-1.0,7
BIOETHICS & NAT'L SEC: Bioethics and National Security,null,42974,/courses/42974,At least since Augustine proposed a theory of just war armed conflict has been recognized as raising ethicalissues. These issues have intensified along with the power and sophistication of weapons of war and especially with increasing engineering capabilities and basic knowledge of the physical world. The life sciences have had their place in these developments as well perhaps most vividly with the revelations of horrific experiments conducted by the Naziand Imperial Japanese militaries but with much greater intensity due to developments in fields like genetics neuroscience and information science andthe widely recognized convergence of physics chemistry biology and engineering.,[HSOC-391 -- STSC-391],3.56,3.94,1.88,-1.0,1.88,-1.0,-1.0,19
EXISTENTIAL DESPAIR,null,42078,/courses/42078,This is an experimental course that seeks to combine creative pedagogical methods and alternative scheduling to encourage intellectual reflection and emotional vulnerability through an in depth study of the way people cope with existential despair. Through a reading of memoirs novels poetry and essays in an atmosphere conducive to close-reading and full-participation students will explore a wide-range of ways of coping with describing and comprehendingmoments of great despair. Lectures will explain the ritual liturgical homiletic meditative reflective self-destructive psycho-somatic and ascetic ways despair is both conditioned and mitigated by different thinkers from various traditions over time. Format: This course is different from most others in that there is no homework no class participation no outside reading and no research papers. There will be no work given to students or expected of them outside of class. All work is done in class and class is very long (8 hours straight once a week from four PM to midnight). Students will eat together in class there will be three bathroom breaks but there will be no internet no phones no computers and no auditors. Each student must be fully committed to the class and 75% of the grade will be determined by class participation.,[RELS-256],3.94,3.94,2.86,-1.0,2.24,-1.0,-1.0,32
SHAKESPEARE&POL.THOUGHT,null,37815,/courses/37815,Consult department for detailed descriptions. Recent topics include: Globalization; Race & Criminal Justice; Democracy & Markets in Postcommunist Europe.,[PSCI-498],3.0,3.27,2.86,-1.0,3.07,-1.0,-1.0,16
THIRD REICH,null,37349,/courses/37349,The meteoric rise of Hitler's NSDAP in Germany the nature of Nazi rule and the final collapse of the Third Reich. The first half of the semester analyzes the appeal of the NSDAP- who joined the party who voted for it and why. Nazi mobilization tactics campaign strategy and grass-roots techniques the content of the party's social appeals. The second half of the course concentrates on the Nazis in power their use of terror and propaganda their ideological objective everyday life in the Third Reich the possibilities of resistance to the regime. Special attention will be devoted to Nazi Jewish policy and the step that led to the Final Solution and the Holocaust.,[HIST-430],3.49,3.6,2.77,-1.0,2.85,-1.0,-1.0,99
ADVANCED PUNJABI,null,42061,/courses/42061,The objective of the course is to improve proficiency in speaking listening reading and writing. Fall semester: Readings in Punjabi Literature - This course addresses the individual needs of learners. This is a one semester course. The focus of the course will be to study the interpretation of written and oral materials on social political and contemporary cultural topics from modern literature literary criticism poetry and drama. Weekly written compositions and oral presentations will be assigned. Grading will be based on this. Spring semester: Punjabi Popular Culture- This course focuses on different aspects of popular Punjabi culture as they are represented in media - television internet magazines newspapers film and music. This course aims at making the best use of class participation to improve all four language skills. This is also a one semester course.,[PUNJ-434],4.0,4.0,2.0,-1.0,2.0,-1.0,-1.0,2
Image-Based Anatomy for Medical Physics,null,40355,/courses/40355,Please be in touch with the department for further details,[MMP-511],3.71,3.93,2.31,-1.0,2.08,-1.0,-1.0,14
PIW: THE US PRESIDENCY: LIMITS ON CHIEF EXECUTIVE POWER,null,42031,/courses/42031,Consult department for detailed descriptions. More than one course may be taken in a given semester. Recent titles have included: Sustainable Environmental Policy & Global Politics; Shakespeare and Political Theory.,[PSCI-398],3.09,3.18,2.18,-1.0,2.27,-1.0,-1.0,11
SPECIAL TOPICS,null,36929,/courses/36929,Visit the CIS department website for descriptions of available Special Topics classes.,[CIS-399],3.14,3.7,2.0,2.89,2.0,2.0,3.5,11
TOPICS LAW & LITERATURE: PRISON LIT. IN THE U. S.,null,44081,/courses/44081,This course explores an aspect of law and literature intensively; specific course topics will vary from year to year.,[ENGL-266],3.6,3.4,2.22,-1.0,2.56,-1.0,-1.0,11
CIVIL RIGHTS IN MODERN AMERICA,null,35927,/courses/35927,,[HIST-204],3.73,3.91,3.44,-1.0,3.67,-1.0,-1.0,11
MASALA MATTERS: MASALA MATTERS: A CULINARY HISTORY OF SOUTH ASIA AND SOUTH ASIANS,null,36489,/courses/36489,If we are what we eat then exploring the intricacies of our eating habits can reveal how each of us constitute and communicate our identities through the food we consume and do not consume.By exploring how food choices and practices symbolically create shape and reflect particular cultures this course will use food as the prism through which we will explore the history and culture of South Asia. Moreover by investigating who eats what with whom and where this course will examine the complex structures of social intamacy and hierarchy friendship kinship selfhood and otherness that these food practices are often embedded in. Finally by looking at the growing popularity of South Asian cuisine in the West this course will also critically examine how the complex interplay of food multiculturalism and globalization has produced a highly racialized and culturally 'authentic' South Asian-ness in the western world.,[SAST-165],2.67,2.67,1.71,-1.0,1.57,-1.0,-1.0,9
GLOBAL IMMERSION PROGRAM: East Asia,null,44514,/courses/44514,The Global Immersion Program is a pass/fail 0.5 credit course that is designed to provide students with an in-depth exposure to international business practices and first-hand insights into a foreign culture. In past years programs were offered in India the Middle East China South America Southeast Asia and Africa. The program offers studentsthe opportunity to learn about a foreign business environment by way of academic lectures and a multi-week study tour allowing students to visit with corporate and government officials network with alumni and take cultural excursions.,[MGMT-656],3.3,3.15,1.47,2.73,1.59,2.88,2.56,22
CONSULT TO GROWTH CO,null,40310,/courses/40310,This course offers students a unique opportunity to develop consulting skills and entrepreneurial expertise by working as consultants to thriving entrepreneurial ventures in the Philadelphia area. This capstone course combines both fieldwork and class work and allows students to apply knowledge and skills acquired through other course work to real world issues that must be addressed by operating companies. An understanding of characteristics producing rapid entrepreneurial growth and skills related to effective communications and management of a business relationship are emphasized.,[MGMT-251],2.03,2.26,2.52,2.12,3.33,1.88,2.0,35
EVOLUTIONARY LINGUISTICS,null,38862,/courses/38862,Evolutionary linguistics Scholars have been interested in the origins and evolution of language for hundreds of years and work was published on the topic throughout the twentieth century. The end of the century however saw a considerable upsurge in serious scientific interest leading to increasing interdisciplinary communication on the topic and the development of new empirical tools. This course offers an introduction to the literature in this field bringing together research from a diverse range of disciplines and laying out what questions remain and how they might possibly be answered.,[LING-517],4.0,4.0,3.0,-1.0,2.0,-1.0,-1.0,1
A TALE OF TWO CITIES: LONDON & PARIS 1750-PRESENT,null,40115,/courses/40115,,[HIST-102],2.09,2.64,2.5,-1.0,3.1,-1.0,-1.0,11
ANTHROPOLOGY & THE WORLD'S FAIRS,null,35282,/courses/35282,From the middle of the 19th century to well into the 20th the nations of the world staged international expositions or world's fairs. These gatherings of hundreds of exhibitors and millions of visitors were the Internet of their day: a way to exchange information explore new technologies meet foreigners promote commerce and exhibit art. They were seen as encyclopedias or miniature worlds that gathered together all of human knowledge in one place. For the colonial powers of the Victorian era it was also a way to boldly display the natural resources they controlled and the peoples they conquered. For the discipline of anthropology the fairs provided an opportunity to define itself as an essential tool in understanding this rapidly changing world.,[ANTH-157],3.67,4.0,1.33,-1.0,1.67,-1.0,-1.0,3
BUSINESS & DEMOCRACY,null,42096,/courses/42096,This course continues developing students' advanced skills in Russian and is designed to familiarize students with contemporary Russian society its historical background and its present political and economic structure and to develop functional proficiency in speaking writing reading and listening. The course will focus on a variety of issues central to Russian society since the fall of the Soviet Union including changing values political parties and movements the business climate and businessmen various nationalities within Russia women in the family and at work. Course materials will include interviews articles essays by leading Russian journalists and statesmen and contemporary Russian movies.,[RUSS-416],2.5,3.0,3.25,-1.0,2.88,-1.0,-1.0,8
Introduction to Environmental Earth Science,null,37111,/courses/37111,This course will expose students to the principles that underlie our understanding of how the Earth works. The goal of Earth Systems Science is to obtain a scientific understanding of the entire Earth system by describing its component parts (lithosphere hydrosphere atmosphere biosphere) and their interactions and describe how they have evolved how they function and how they may be expected to respond to human activity. The challenge to Earth Systems Science is to develop the capability to predict those changes that will occur in the next decade to century both naturally and in response to human activity. Energy both natural and human-generated will be used as a unifying principle. Knowledge gained through this course will help students make informed decisions in all spheres of human activity: science policy economics etc.,[ENVS-200],1.74,2.35,3.07,-1.0,2.86,-1.0,-1.0,131
GLOBAL BUSINESS: argentina,null,41753,/courses/41753,,[MGMT-895],3.11,3.48,2.04,2.88,2.44,2.79,2.64,27
Religious Conflict in France from the Crusades to the Headscarf Ban,null,35832,/courses/35832,How did France go from a nation with a monarch styled the Most Christian King,[FREN-308],2.5,2.88,2.29,-1.0,2.86,-1.0,-1.0,10
INDEPENDENT STUDY: INDEPENDENT STUDY,null,35558,/courses/35558,The independent study offers the self-motivated student an opportunity for a tailored academically rigorous semester-long investigation into a topic of the student's choice with faculty supervision. Its structure and purpose is different from the internship experience. Students must also complete and file a designated form approved and signed by the supervising faculty member and the Associate Dean for Undergraduate Studies which includes a topic proposal. This form must be received in the Undergraduate Office during the Add period of the semester during which the independent study will be conducted.,[COMM-399],4.0,4.0,3.5,3.5,2.5,2.5,3.5,2
TOPICS: LATIN LITERATURE: TACITUS,null,37408,/courses/37408,This course is for those who have completed Latin 204 Latin 212 or equivalent (such as placement score of 650 or AP score of 4 or 5). Close reading and discussion of a Latin author or a particular genre of latin literature. Topics will vary each semester and the course may be repeated for credit. Assignments will include syntactic and literary analysis on a daily basis a midterm a paper and a final exam. Topic for Spring 2016: Catullus,[LATN-309],3.15,3.65,2.8,-1.0,2.75,-1.0,-1.0,20
LANG STRUCT & VERBAL ART,null,40231,/courses/40231,The purpose of this course is to explore the relationship between linguistic structure and the use of language for artistic purposes. The syllabus is organized as a sequence of units each built around a particular theme. These include the sound structure of poetry (meter rhyme and other linguistic patterns in Jabberwocky the Odyssey Shakespeare the Troubadours and others); how precise linguistic data can be used to solve an outstanding literary problem (determining the approximate date when Beowulf was composed); and the structure of folktales of various cultures and of narratives of everyday experience.,[LING-103],2.91,3.58,1.23,-1.0,0.88,-1.0,-1.0,35
EXPERIMENTAL PHYS CHEM I,null,38263,/courses/38263,Important methods skills and apparatus used for the acquisition and interpretation of quantitative information about chemical systems will be discussed in principle and used in the laboratory.,[CHEM-223],2.92,3.38,3.0,-1.0,3.5,-1.0,-1.0,25
HIGH RISK NEONATAL THEORY II,null,45255,/courses/45255,This course examines specific pathophysiological mechanisms which may result in body system failure. Strategies for clinical management are examined based on a synthesis of biological behavioral medical pharmacological and nursing knowledge. Theoretical analysis of the roles of the advanced practitioner with critically ill patients is emphasized.,[NURS-776],3.0,3.0,3.0,3.0,3.0,0.0,3.5,2
Anthropology: The Study of Culture and Society,null,45290,/courses/45290,,[PSPR-066],4.0,4.0,2.0,-1.0,3.0,-1.0,-1.0,1
MEDIA ARABIC,null,42349,/courses/42349,This course trains students to be proficient with written materials and media in MSA. This class will explore the Middle East through timely analysis of Arabic media as well as original analysis of the ideological intellectual social cultural and religious background to current events including the Arab Spring and its aftermath. It is intended that upon completion of this course students will be able to work independently with a variety of media texts at different levels. Taught in MSA with writing assignments in MSA.,[ARAB-433],3.75,3.75,2.33,-1.0,2.33,-1.0,-1.0,4
THE ART OF THE INTERVIEW,null,41318,/courses/41318,See the English Department's website at: www.english.upenn.edu for a description of the current offerings.,[ENGL-457],3.89,3.9,3.1,-1.0,3.4,-1.0,-1.0,10
SOCIAL ENTREPRENEURSHIP,null,44531,/courses/44531,This is a course on creating a business to attack a social problem and thereby accomplish both social impact and financial sustainability. For this course social entrepreneurship is defined as entrepreneurship used to profitably confront social problems. This definition therefore views social entrepreneurship as a distinct alternative to public sector initiatives. The basic thesis is that many social problems if looked at through an entrepreneurial lens create opportunity for someone to launch a venture that generates profits by alleviating that social problem. This sets in motion a virtuous cycle - the entrepreneur is incented to generate more profits and in so doing the more the profits made the more the problem is alleviated. Even if it is not possible to eventually create a profit-making enterprise the process of striving to do so can lead to a resource-lean not-for-profit entity. Creating a profitable social entrepreneurship venture is by no means a simple challenge.,[MGMT-810 -- MGMT-212],2.41,2.83,1.95,2.55,2.24,2.0,2.43,35
APPROACHES TO GENRE: THE END IS COMING: APOCALYPSE IN FILM AND LITERATURE,null,41185,/courses/41185,This is a topics course. Please see COML website for current semester's description: http://ccat.sas.upenn.edu/Complit/,[COML-001 -- ENGL-001],3.67,3.73,1.75,-1.0,2.13,-1.0,-1.0,13
